id,retailer,product,pack,category,price,loyaltyPrice,hasLoyaltyPrice,loyaltyCard,priceType,source,verified
aldi-bananas-5,Aldi,Nature's Pick Bananas,5 each,Fruit & veg,0.78,,False,,standard,https://www.aldi.co.uk/products/fresh-food/fruit/k/1588161416978050001,2026-09-01
aldi-pink-lady-6,Aldi,Nature's Pick Pink Lady Apples,6 each,Fruit & veg,2.85,,False,,standard,https://www.aldi.co.uk/product/nature-s-pick-pink-lady-apples-000000000000271500,2026-09-01
aldi-mozzarella-250,Aldi,Emporium Grated Mozzarella,250g,Chilled,1.89,,False,,standard,https://www.aldi.co.uk/product/emporium-grated-mozzarella-000000000000280873,2026-09-01
aldi-mature-cheddar-400,Aldi,Emporium British Mature Cheddar,400g,Chilled,2.45,,False,,standard,https://www.aldi.co.uk/products/chilled-food/cheese/k/1588161416978051004,2026-09-01
aldi-milk-2l,Aldi,Cowbelle Filtered British Whole Milk,2L,Dairy,1.69,,False,,standard,https://www.aldi.co.uk/product/cowbelle-filtered-british-whole-milk-000000000000423400,2026-09-01
aldi-eggs-6,Aldi,Merevale Free Range Eggs,6 pack,Dairy,0.99,,False,,standard,https://www.aldi.co.uk/product/merevale-free-range-eggs-6-pack-000000000000548465,2026-09-01
aldi-butter-250,Aldi,Cowbelle British Salted Butter,250g,Dairy,1.85,,False,,standard,https://www.aldi.co.uk/product/cowbelle-british-salted-butter-250g-000000000000416554,2026-09-01
aldi-chicken-650,Aldi,Ashfields Chicken Breast Fillets,650g,Meat,4.69,,False,,standard,https://www.aldi.co.uk/product/ashfields-chicken-breast-fillets-000000000000383730,2026-09-01
aldi-rice-1kg,Aldi,Worldwide Foods Basmati Rice,1kg,Food cupboard,1.79,,False,,standard,https://www.aldi.co.uk/product/worldwide-foods-basmati-rice-000000000000262344,2026-09-01
aldi-macaroni-500,Aldi,Cucina Macaroni Pasta,500g,Food cupboard,0.72,,False,,standard,https://www.aldi.co.uk/product/cucina-macaroni-pasta-500g-000000000000308242,2026-09-01
aldi-penne-500,Aldi,Cucina Penne Pasta,500g,Food cupboard,0.69,,False,,standard,https://www.aldi.co.uk/product/cucina-penne-pasta-500g-000000000000308638,2026-09-01
tesco-milk-4pint,Tesco,Tesco British Semi Skimmed Milk,4 pints / 2.272L,Dairy,1.65,,False,,standard,https://www.tesco.com/shop/en-GB/products/254656543,2026-09-01
tesco-eggs-6-medium,Tesco,Tesco Free Range Eggs Medium,6 pack,Dairy,1.8,,False,,standard,https://www.tesco.com/shop/en-GB/browse/fresh-food/milk-butter-and-eggs/eggs/free-range-eggs,2026-09-01
tesco-eggs-6-large,Tesco,Tesco Large Free Range Eggs,6 pack,Dairy,2.1,,False,,standard,https://www.tesco.com/shop/en-GB/products/250802567,2026-09-01
tesco-butter-250,Tesco,Tesco English Salted Butter,250g,Dairy,1.85,,False,,standard,https://www.tesco.com/shop/en-GB/products/256542847,2026-09-01
tesco-butter-block-250,Tesco,Tesco British Salted Block Butter,250g,Dairy,1.99,,False,,standard,https://www.tesco.com/shop/en-GB/products/290920510,2026-09-01
tesco-cheddar-400,Tesco,Tesco Mature Cheddar,400g,Chilled,3.25,,False,,standard,https://www.tesco.com/shop/en-GB/products/305977270,2026-09-01
tesco-pasta-500,Tesco,Tesco Fusilli Pasta,500g,Food cupboard,0.75,,False,,standard,https://www.tesco.com/shop/en-GB/products/254878545,2026-09-01
tesco-rice-1kg,Tesco,Tesco Easy Cook Long Grain Rice,1kg,Food cupboard,1.25,,False,,standard,https://www.tesco.com/shop/en-GB/products/254877356,2026-09-01
tesco-chicken-525,Tesco,Tesco British Chicken Breast Fillets,525g,Meat,3.65,,False,,standard,https://www.tesco.com/shop/en-GB/products/304401631,2026-09-01
tesco-chicken-2kg,Tesco,Tesco British Chicken Breast Fillets,2kg,Meat,12.85,,False,,standard,https://www.tesco.com/shop/en-GB/products/317311429,2026-09-01
tesco-bananas-5,Tesco,Tesco Ripe Bananas,5 pack,Fruit & veg,0.78,,False,,standard,https://www.tesco.com/shop/en-GB/products/266419328,2026-09-01
tesco-bread-800,Tesco,Tesco White Sliced Batch Bread,800g,Bakery,1.4,,False,,standard,https://www.tesco.com/shop/en-GB/products/310098035,2026-09-01
